00001 	GARCIA 	170.818 	22,64 	174.232 	23,09
00002 	MARTINEZ 	119.231 	15,80 	120.538 	15,98
00003 	LOPEZ 	114.352 	15,16 	117.248 	15,54
00004 	SANCHEZ 	103.044 	13,66 	104.997 	13,92
00005 	RODRIGUEZ 	99.884 	13,24 	100.400 	13,31
00006 	FERNANDEZ 	97.658 	12,94 	99.213 	13,15
00007 	PEREZ 	92.708 	12,29 	95.403 	12,65
00008 	GONZALEZ 	91.548 	12,13 	92.016 	12,20
00009 	GOMEZ 	56.663 	7,51 	57.208 	7,58
00010 	RUIZ 	50.234 	6,66 	52.198 	6,92
00011 	MARTIN 	45.885 	6,08 	45.267 	6,00
00012 	JIMENEZ 	44.297 	5,87 	43.532 	5,77
00013 	MORENO 	42.382 	5,62 	42.502 	5,63
00014 	MUÑOZ 	38.222 	5,07 	38.671 	5,13
00015 	HERNANDEZ 	38.048 	5,04 	38.500 	5,10
00016 	DIAZ 	34.942 	4,63 	34.884 	4,62
00017 	ROMERO 	28.809 	3,82 	28.575 	3,79
00018 	NAVARRO 	28.372 	3,76 	28.726 	3,81
00019 	TORRES 	26.781 	3,55 	26.710 	3,54
00020 	ALVAREZ 	26.614 	3,53 	26.773 	3,55
00021 	GUTIERREZ 	20.094 	2,66 	19.864 	2,63
00022 	MOLINA 	19.735 	2,62 	20.053 	2,66
00023 	SERRANO 	18.835 	2,50 	18.873 	2,50
00024 	GIL 	18.336 	2,43 	18.301 	2,43
00025 	RAMIREZ 	18.162 	2,41 	17.979 	2,38

    * Menys resultats
    * Més resultats

00026 	VILA 	18.322 	2,43 	17.692 	2,34
00027 	VIDAL 	17.178 	2,28 	16.991 	2,25
00028 	RAMOS 	16.898 	2,24 	16.593 	2,20
00029 	MORALES 	16.725 	2,22 	16.765 	2,22
00030 	MARIN 	16.625 	2,20 	16.080 	2,13
00031 	SERRA 	16.535 	2,19 	15.644 	2,07
00032 	ORTIZ 	15.825 	2,10 	16.338 	2,17
00033 	MARTI 	16.413 	2,18 	15.649 	2,07
00034 	GIMENEZ 	15.292 	2,03 	16.393 	2,17
00035 	ORTEGA 	15.640 	2,07 	15.765 	2,09
00036 	FERRER 	15.845 	2,10 	15.288 	2,03
00037 	ALONSO 	15.313 	2,03 	15.480 	2,05
00038 	SOLER 	15.351 	2,03 	15.144 	2,01
00039 	DOMINGUEZ 	14.865 	1,97 	15.114 	2,00
00040 	RUBIO 	14.864 	1,97 	14.792 	1,96
00041 	PUIG 	14.642 	1,94 	13.986 	1,85
00042 	DELGADO 	14.244 	1,89 	14.202 	1,88
00043 	VAZQUEZ 	13.863 	1,84 	13.777 	1,83
00044 	ROCA 	13.683 	1,81 	13.797 	1,83
00045 	CASTILLO 	13.330 	1,77 	13.711 	1,82
00046 	CASTRO 	13.458 	1,78 	13.579 	1,80
00047 	CORTES 	13.598 	1,80 	13.426 	1,78
00048 	FLORES 	12.556 	1,66 	13.020 	1,73
00049 	CANO 	12.285 	1,63 	12.345 	1,64
00050 	SOLE 	11.834 	1,57 	12.146 	1,61

    * Menys resultats
    * Més resultats

00051 	MEDINA 	11.456 	1,52 	11.809 	1,57
00052 	GUERRERO 	11.408 	1,51 	11.482 	1,52
00053 	PUJOL 	11.380 	1,51 	11.311 	1,50
00054 	BLANCO 	11.383 	1,51 	11.230 	1,49
00055 	FONT 	11.501 	1,52 	10.733 	1,42
00056 	DURAN 	11.132 	1,48 	10.868 	1,44
00057 	LOZANO 	10.880 	1,44 	10.968 	1,45
00058 	NUÑEZ 	10.635 	1,41 	10.705 	1,42
00059 	AGUILAR 	10.664 	1,41 	10.564 	1,40
00060 	CRUZ 	10.502 	1,39 	10.519 	1,39
00061 	PASCUAL 	10.491 	1,39 	10.375 	1,38
00062 	COSTA 	10.473 	1,39 	10.090 	1,34
00063 	GARRIDO 	10.007 	1,33 	10.187 	1,35
00064 	CASAS 	10.200 	1,35 	9.510 	1,26
00065 	MARQUEZ 	9.854 	1,31 	9.777 	1,30
00066 	SEGURA 	9.644 	1,28 	9.398 	1,25
00067 	CARMONA 	9.279 	1,23 	9.351 	1,24
00068 	ROVIRA 	9.525 	1,26 	9.044 	1,20
00069 	SALA 	9.389 	1,24 	8.997 	1,19
00070 	PONS 	9.236 	1,22 	9.082 	1,20
00071 	MENDEZ 	9.035 	1,20 	9.135 	1,21
00072 	SANZ 	9.102 	1,21 	8.904 	1,18
00073 	FUENTES 	8.972 	1,19 	8.982 	1,19
00074 	GALLEGO 	9.024 	1,20 	8.848 	1,17
00075 	BOSCH 	9.069 	1,20 	8.563 	1,13

    * Menys resultats
    * Més resultats

00076 	CABALLERO 	8.603 	1,14 	8.803 	1,17
00077 	CAMPOS 	8.605 	1,14 	8.763 	1,16
00078 	LEON 	8.481 	1,12 	8.874 	1,18
00079 	CARRASCO 	8.801 	1,17 	8.441 	1,12
00080 	HIDALGO 	8.410 	1,11 	8.479 	1,12
00081 	MAS 	8.637 	1,14 	8.089 	1,07
00082 	REYES 	8.448 	1,12 	8.242 	1,09
00083 	MORA 	8.404 	1,11 	8.230 	1,09
00084 	ROIG 	8.502 	1,13 	8.128 	1,08
00085 	HERRERA 	8.079 	1,07 	8.130 	1,08
00086 	SANTOS 	8.007 	1,06 	8.133 	1,08
00087 	MOYA 	8.058 	1,07 	8.055 	1,07
00088 	PEÑA 	7.785 	1,03 	8.058 	1,07
00089 	SOLA 	7.949 	1,05 	7.878 	1,04
00090 	RIERA 	8.117 	1,08 	7.691 	1,02
00091 	IBAÑEZ 	7.803 	1,03 	7.975 	1,06
00092 	CALVO 	7.930 	1,05 	7.807 	1,03
00093 	IGLESIAS 	7.741 	1,03 	7.733 	1,02
00094 	GRAU 	7.943 	1,05 	7.440 	0,99
00095 	VARGAS 	7.577 	1,00 	7.497 	0,99
00096 	TOMAS 	7.494 	0,99 	7.533 	1,00
00097 	GALLARDO 	7.414 	0,98 	7.532 	1,00
00098 	DOMENECH 	7.599 	1,01 	7.342 	0,97
00099 	PARRA 	7.156 	0,95 	7.594 	1,01
00100 	SUAREZ 	7.433 	0,99 	7.255 	0,96

    * Menys resultats
    * Més resultats

00101 	VALLS 	7.604 	1,01 	7.034 	0,93
00102 	CABRERA 	7.336 	0,97 	7.268 	0,96
00103 	PRIETO 	7.093 	0,94 	7.133 	0,95
00104 	AGUILERA 	7.150 	0,95 	7.064 	0,94
00105 	LUQUE 	6.946 	0,92 	7.238 	0,96
00106 	NIETO 	6.832 	0,91 	7.269 	0,96
00107 	ROJAS 	7.030 	0,93 	6.907 	0,92
00108 	MONTERO 	6.941 	0,92 	6.919 	0,92
00109 	COLL 	6.942 	0,92 	6.786 	0,90
00110 	ARIAS 	6.604 	0,88 	6.859 	0,91
00111 	LARA 	6.656 	0,88 	6.778 	0,90
00112 	GRACIA 	6.188 	0,82 	6.402 	0,85
00113 	PRAT 	6.396 	0,85 	6.030 	0,80
00114 	SOTO 	6.171 	0,82 	6.254 	0,83
00115 	SANTIAGO 	6.391 	0,85 	6.007 	0,80
00116 	ROS 	6.273 	0,83 	6.069 	0,80
00117 	EXPOSITO 	5.743 	0,76 	6.596 	0,87
00118 	VEGA 	6.198 	0,82 	6.129 	0,81
00119 	CARRILLO 	6.100 	0,81 	6.159 	0,82
00120 	VERA 	5.994 	0,79 	6.071 	0,80
00121 	FARRE 	6.003 	0,80 	6.010 	0,80
00122 	SORIANO 	6.101 	0,81 	5.898 	0,78
00123 	ROMAN 	6.010 	0,80 	5.956 	0,79
00124 	SAEZ 	5.902 	0,78 	6.002 	0,80
00125 	RIBAS 	6.001 	0,80 	5.890 	0,78

    * Menys resultats
    * Més resultats

00126 	BENITEZ 	5.908 	0,78 	5.952 	0,79
00127 	FERRE 	5.952 	0,79 	5.790 	0,77
00128 	VICENTE 	5.821 	0,77 	5.889 	0,78
00129 	DOMINGO 	5.935 	0,79 	5.666 	0,75
00130 	PASTOR 	5.663 	0,75 	5.908 	0,78
00131 	SALVADOR 	5.814 	0,77 	5.558 	0,74
00132 	BRAVO 	5.624 	0,75 	5.660 	0,75
00133 	VELASCO 	5.701 	0,76 	5.541 	0,73
00134 	FRANCO 	5.761 	0,76 	5.468 	0,72
00135 	CASADO 	5.691 	0,75 	5.511 	0,73
00136 	VENTURA 	5.763 	0,76 	5.417 	0,72
00137 	ANDREU 	5.612 	0,74 	5.495 	0,73
00138 	VALERO 	5.511 	0,73 	5.339 	0,71
00139 	ROBLES 	5.290 	0,70 	5.489 	0,73
00140 	VIVES 	5.436 	0,72 	5.266 	0,70
00141 	ESPINOSA 	5.381 	0,71 	5.309 	0,70
00142 	MENDOZA 	5.168 	0,68 	5.374 	0,71
00143 	BELTRAN 	5.273 	0,70 	5.222 	0,69
00144 	MARTOS 	5.218 	0,69 	5.275 	0,70
00145 	HERRERO 	5.376 	0,71 	5.116 	0,68
00146 	ESTEBAN 	5.250 	0,70 	5.236 	0,69
00147 	CODINA 	5.325 	0,71 	5.150 	0,68
00148 	SILVA 	5.311 	0,70 	5.161 	0,68
00149 	JURADO 	5.170 	0,69 	5.273 	0,70
00150 	CAMACHO 	5.215 	0,69 	5.200 	0,69

    * Menys resultats
    * Més resultats

00151 	SANCHO 	5.127 	0,68 	5.265 	0,70
00152 	IZQUIERDO 	5.114 	0,68 	5.262 	0,70
00153 	ESTEVE 	5.254 	0,70 	5.082 	0,67
00154 	PADILLA 	5.206 	0,69 	5.110 	0,68
00155 	PLANAS 	5.207 	0,69 	5.040 	0,67
00156 	RIVERA 	5.199 	0,69 	4.999 	0,66
00157 	PLA 	5.094 	0,68 	5.090 	0,67
00158 	MONTES 	5.135 	0,68 	5.043 	0,67
00159 	PARDO 	5.144 	0,68 	5.031 	0,67
00160 	GUILLEN 	5.077 	0,67 	5.074 	0,67
00161 	SIERRA 	4.980 	0,66 	5.127 	0,68
00162 	OLIVA 	5.066 	0,67 	4.961 	0,66
00163 	CRESPO 	5.008 	0,66 	4.997 	0,66
00164 	BORRAS 	5.112 	0,68 	4.840 	0,64
00165 	MATEO 	4.980 	0,66 	4.874 	0,65
00166 	CONTRERAS 	5.039 	0,67 	4.796 	0,64
00167 	RIOS 	4.907 	0,65 	4.859 	0,64
00168 	HEREDIA 	4.903 	0,65 	4.830 	0,64
00169 	CASALS 	4.946 	0,66 	4.736 	0,63
00170 	SIMON 	4.901 	0,65 	4.745 	0,63
00171 	BONET 	4.826 	0,64 	4.708 	0,62
00172 	CARBONELL 	4.971 	0,66 	4.544 	0,60
00173 	CAPDEVILA 	4.864 	0,64 	4.594 	0,61
00174 	ALARCON 	4.690 	0,62 	4.761 	0,63
00175 	SANS 	4.807 	0,64 	4.629 	0,61

    * Menys resultats
    * Més resultats

00176 	ROLDAN 	4.609 	0,61 	4.820 	0,64
00177 	ARANDA 	4.724 	0,63 	4.665 	0,62
00178 	MIRO 	4.785 	0,63 	4.524 	0,60
00179 	CARRERAS 	4.826 	0,64 	4.476 	0,59
00180 	CASANOVAS 	4.667 	0,62 	4.621 	0,61
00181 	SINGH 	9.122 	1,21 	113 	0,01
00182 	MERINO 	4.660 	0,62 	4.533 	0,60
00183 	DIEZ 	4.518 	0,60 	4.594 	0,61
00184 	BADIA 	4.564 	0,60 	4.493 	0,60
00185 	FIGUERAS 	4.577 	0,61 	4.472 	0,59
00186 	PRATS 	4.724 	0,63 	4.309 	0,57
00187 	MATEU 	4.516 	0,60 	4.468 	0,59
00188 	BUENO 	4.324 	0,57 	4.620 	0,61
00189 	GARRIGA 	4.626 	0,61 	4.309 	0,57
00190 	ARROYO 	4.404 	0,58 	4.524 	0,60
00191 	CAMPS 	4.443 	0,59 	4.448 	0,59
00192 	LUNA 	4.442 	0,59 	4.394 	0,58
00193 	MIRANDA 	4.496 	0,60 	4.320 	0,57
00194 	ZAMORA 	4.486 	0,59 	4.323 	0,57
00195 	MACIAS 	4.505 	0,60 	4.302 	0,57
00196 	GALVEZ 	4.423 	0,59 	4.365 	0,58
00197 	SABATE 	4.438 	0,59 	4.232 	0,56
00198 	RAMON 	4.348 	0,58 	4.299 	0,57
00199 	QUINTANA 	4.253 	0,56 	4.323 	0,57
00200 	GUZMAN 	4.241 	0,56 	4.318 	0,57

    * Menys resultats
    * Més resultats

00201 	REDONDO 	4.289 	0,57 	4.232 	0,56
00202 	BLASCO 	4.165 	0,55 	4.295 	0,57
00203 	COMAS 	4.177 	0,55 	4.257 	0,56
00204 	AVILA 	4.223 	0,56 	4.183 	0,55
00205 	ASENSIO 	4.168 	0,55 	4.189 	0,56
00206 	LORENZO 	4.208 	0,56 	4.148 	0,55
00207 	ANDRES 	4.208 	0,56 	4.134 	0,55
00208 	SALAS 	4.135 	0,55 	4.204 	0,56
00209 	RIVAS 	4.155 	0,55 	4.116 	0,55
00210 	PALAU 	4.227 	0,56 	4.003 	0,53
00211 	ABAD 	4.103 	0,54 	4.060 	0,54
00212 	BERNAL 	4.064 	0,54 	4.036 	0,53
00213 	CALDERON 	3.967 	0,53 	4.114 	0,55
00214 	PALACIOS 	4.064 	0,54 	4.001 	0,53
00215 	LORENTE 	4.109 	0,54 	3.954 	0,52
00216 	PAGES 	4.109 	0,54 	3.944 	0,52
00217 	VILLANUEVA 	4.072 	0,54 	3.945 	0,52
00218 	GIMENO 	3.927 	0,52 	4.036 	0,53
00219 	VALVERDE 	3.964 	0,53 	3.974 	0,53
00220 	BERTRAN 	4.067 	0,54 	3.801 	0,50
00221 	MILLAN 	4.001 	0,53 	3.837 	0,51
00222 	PAREDES 	3.867 	0,51 	3.934 	0,52
00223 	RIUS 	3.969 	0,53 	3.822 	0,51
00224 	BAUTISTA 	3.876 	0,51 	3.912 	0,52
00225 	HURTADO 	3.929 	0,52 	3.839 	0,51

    * Menys resultats
    * Més resultats

00226 	GALAN 	3.942 	0,52 	3.804 	0,50
00227 	VALLES 	3.992 	0,53 	3.680 	0,49
00228 	CASTELLS 	3.989 	0,53 	3.678 	0,49
00228 	MALDONADO 	3.738 	0,50 	3.929 	0,52
00230 	SALAZAR 	3.801 	0,50 	3.852 	0,51
00231 	PIÑOL 	3.832 	0,51 	3.818 	0,51
00232 	ESCOBAR 	3.808 	0,50 	3.776 	0,50
00233 	LAZARO 	3.797 	0,50 	3.774 	0,50
00234 	MURILLO 	3.581 	0,47 	3.864 	0,51
00235 	PLAZA 	3.723 	0,49 	3.720 	0,49
00236 	MATA 	3.795 	0,50 	3.575 	0,47
00237 	QUESADA 	3.674 	0,49 	3.695 	0,49
00238 	COLLADO 	3.529 	0,47 	3.758 	0,50
00239 	RUEDA 	3.621 	0,48 	3.643 	0,48
00240 	ESCUDERO 	3.529 	0,47 	3.720 	0,49
00241 	MANZANO 	3.659 	0,48 	3.511 	0,47
00242 	MARCOS 	3.717 	0,49 	3.452 	0,46
00243 	RIBERA 	3.621 	0,48 	3.463 	0,46
00244 	ALSINA 	3.512 	0,47 	3.567 	0,47
00245 	BERMUDEZ 	3.513 	0,47 	3.533 	0,47
00246 	PACHECO 	3.601 	0,48 	3.438 	0,46
00247 	LINARES 	3.554 	0,47 	3.471 	0,46
00248 	BARRERA 	3.495 	0,46 	3.521 	0,47
00249 	PEREIRA 	3.849 	0,51 	3.092 	0,41
00250 	CARDONA 	3.614 	0,48 	3.321 	0,44

    * Menys resultats
    * Més resultats

00251 	DALMAU 	3.515 	0,47 	3.327 	0,44
00252 	GUERRA 	3.415 	0,45 	3.424 	0,45
00253 	PONCE 	3.374 	0,45 	3.462 	0,46
00254 	ROSELL 	3.447 	0,46 	3.381 	0,45
00255 	CASANOVA 	3.565 	0,47 	3.249 	0,43
00256 	POZO 	3.413 	0,45 	3.377 	0,45
00257 	APARICIO 	3.394 	0,45 	3.392 	0,45
00258 	MIRALLES 	3.329 	0,44 	3.448 	0,46
00259 	ESTRADA 	3.354 	0,44 	3.403 	0,45
00260 	REY 	3.372 	0,45 	3.381 	0,45
00261 	ALBA 	3.552 	0,47 	3.181 	0,42
00262 	VALENCIA 	3.353 	0,44 	3.359 	0,45
00263 	NAVAS 	3.232 	0,43 	3.462 	0,46
00264 	MARCO 	3.384 	0,45 	3.303 	0,44
00265 	BLANCH 	3.333 	0,44 	3.352 	0,44
00266 	MESA 	3.338 	0,44 	3.304 	0,44
00267 	PALLARES 	3.351 	0,44 	3.285 	0,44
00268 	CUEVAS 	3.310 	0,44 	3.305 	0,44
00269 	ARENAS 	3.384 	0,45 	3.224 	0,43
00270 	REQUENA 	3.347 	0,44 	3.238 	0,43
00271 	CASTAÑO 	3.235 	0,43 	3.344 	0,44
00272 	OLIVER 	3.398 	0,45 	3.155 	0,42
00273 	TORRENT 	3.372 	0,45 	3.154 	0,42
00274 	SORIA 	3.139 	0,42 	3.378 	0,45
00275 	LLORENS 	3.389 	0,45 	3.101 	0,41

    * Menys resultats
    * Més resultats

00276 	BENITO 	3.254 	0,43 	3.235 	0,43
00277 	CARRERA 	3.145 	0,42 	3.331 	0,44
00278 	CUENCA 	3.257 	0,43 	3.194 	0,42
00279 	VIÑAS 	3.279 	0,43 	3.144 	0,42
00280 	MIR 	3.261 	0,43 	3.156 	0,42
00281 	JUAN 	3.245 	0,43 	3.148 	0,42
00282 	CABELLO 	3.178 	0,42 	3.209 	0,43
00283 	BUSQUETS 	3.147 	0,42 	3.191 	0,42
00284 	ALCARAZ 	3.268 	0,43 	3.060 	0,41
00285 	GALINDO 	3.108 	0,41 	3.214 	0,43
00286 	COLOMER 	3.233 	0,43 	3.077 	0,41
00287 	ROYO 	3.002 	0,40 	3.255 	0,43
00288 	REINA 	3.066 	0,41 	3.133 	0,42
00289 	EGEA 	3.079 	0,41 	3.094 	0,41
00290 	SANTAMARIA 	3.007 	0,40 	3.145 	0,42
00291 	NADAL 	3.131 	0,41 	2.990 	0,40
00292 	MIGUEL 	3.057 	0,41 	3.034 	0,40
00293 	VALLE 	3.023 	0,40 	3.067 	0,41
00294 	AMAYA 	3.174 	0,42 	2.913 	0,39
00295 	ORDOÑEZ 	2.912 	0,39 	3.135 	0,42
00296 	BOIX 	3.041 	0,40 	2.996 	0,40
00297 	BELMONTE 	2.944 	0,39 	3.061 	0,41
00298 	MARQUES 	3.125 	0,41 	2.868 	0,38
00299 	CARDENAS 	3.016 	0,40 	2.970 	0,39
00300 	ARMENGOL 	3.085 	0,41 	2.892 	0,38

    * Menys resultats
    * Més resultats

00301 	RICO 	3.008 	0,40 	2.967 	0,39
00302 	TORRAS 	3.165 	0,42 	2.808 	0,37
